ZIP,CBSA,USPS_ZIP_PREF_CITY,USPS_ZIP_PREF_STATE,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
66781,38260,WEIR,KS,0.031203566,0.363636364,0.000000000,0.036443149
66782,99999,WEST MINERAL,KS,1.000000000,0.000000000,1.000000000,1.000000000
66783,99999,YATES CENTER,KS,1.000000000,1.000000000,1.000000000,1.000000000
66801,21380,EMPORIA,KS,1.000000000,1.000000000,1.000000000,1.000000000
66830,21380,ADMIRE,KS,1.000000000,1.000000000,1.000000000,1.000000000
66833,21380,ALLEN,KS,1.000000000,1.000000000,1.000000000,1.000000000
66834,31740,ALTA VISTA,KS,0.162222222,0.100000000,0.000000000,0.159827214
66834,45820,ALTA VISTA,KS,0.724444444,0.700000000,1.000000000,0.725701944
66834,99999,ALTA VISTA,KS,0.113333333,0.200000000,0.000000000,0.114470842
66835,21380,AMERICUS,KS,1.000000000,1.000000000,1.000000000,1.000000000
66838,21380,BURDICK,KS,0.027027027,0.000000000,0.000000000,0.025000000
66838,99999,BURDICK,KS,0.972972973,1.000000000,1.000000000,0.975000000
66839,99999,BURLINGTON,KS,1.000000000,1.000000000,1.000000000,1.000000000
66840,99999,BURNS,KS,0.517142857,0.750000000,0.500000000,0.519553073
66840,48620,BURNS,KS,0.414285714,0.250000000,0.500000000,0.413407821
66840,21380,BURNS,KS,0.068571429,0.000000000,0.000000000,0.067039106
66842,48620,CASSODAY,KS,1.000000000,1.000000000,1.000000000,1.000000000
66843,99999,CEDAR POINT,KS,0.006993007,0.000000000,0.000000000,0.006578947
66843,21380,CEDAR POINT,KS,0.993006993,1.000000000,1.000000000,0.993421053
66845,21380,COTTONWOOD FALLS,KS,1.000000000,1.000000000,1.000000000,1.000000000
66846,45820,COUNCIL GROVE,KS,0.000949668,0.000000000,0.000000000,0.000833333
66846,99999,COUNCIL GROVE,KS,0.952516619,1.000000000,0.980392157,0.957916667
66846,21380,COUNCIL GROVE,KS,0.046533713,0.000000000,0.019607843,0.041250000
66849,99999,DWIGHT,KS,0.793814433,0.750000000,1.000000000,0.793918919
66849,31740,DWIGHT,KS,0.206185567,0.250000000,0.000000000,0.206081081
66850,21380,ELMDALE,KS,1.000000000,1.000000000,0.000000000,1.000000000
66851,99999,FLORENCE,KS,1.000000000,1.000000000,1.000000000,1.000000000
66852,99999,GRIDLEY,KS,1.000000000,1.000000000,1.000000000,1.000000000
66853,99999,HAMILTON,KS,1.000000000,1.000000000,1.000000000,1.000000000
66854,21380,HARTFORD,KS,0.812379110,0.833333333,1.000000000,0.815157116
66854,99999,HARTFORD,KS,0.187620890,0.166666667,0.000000000,0.184842884
66855,99999,LAMONT,KS,1.000000000,0.000000000,1.000000000,1.000000000
66856,45820,LEBO,KS,0.139884393,0.150000000,0.000000000,0.137931034
66856,99999,LEBO,KS,0.860115607,0.850000000,1.000000000,0.862068966
66857,99999,LE ROY,KS,1.000000000,1.000000000,1.000000000,1.000000000
66858,99999,LINCOLNVILLE,KS,0.977777778,1.000000000,1.000000000,0.978540773
66858,21380,LINCOLNVILLE,KS,0.022222222,0.000000000,0.000000000,0.021459227
66859,99999,LOST SPRINGS,KS,1.000000000,1.000000000,1.000000000,1.000000000
66860,99999,MADISON,KS,0.910128388,1.000000000,0.714285714,0.909946237
66860,21380,MADISON,KS,0.089871612,0.000000000,0.285714286,0.090053763
66861,99999,MARION,KS,1.000000000,1.000000000,1.000000000,1.000000000
66862,21380,MATFIELD GREEN,KS,1.000000000,1.000000000,1.000000000,1.000000000
66863,99999,NEAL,KS,1.000000000,0.000000000,1.000000000,1.000000000
66864,21380,NEOSHO RAPIDS,KS,0.920168067,0.800000000,1.000000000,0.918032787
66864,99999,NEOSHO RAPIDS,KS,0.079831933,0.200000000,0.000000000,0.081967213
66865,21380,OLPE,KS,1.000000000,1.000000000,1.000000000,1.000000000
66866,99999,PEABODY,KS,0.953516091,1.000000000,1.000000000,0.958154506
66866,48620,PEABODY,KS,0.046483909,0.000000000,0.000000000,0.041845494
66868,45820,READING,KS,0.069948187,0.000000000,0.000000000,0.067164179
66868,21380,READING,KS,0.924870466,1.000000000,1.000000000,0.927860697
66868,99999,READING,KS,0.005181347,0.000000000,0.000000000,0.004975124
66869,21380,STRONG CITY,KS,0.994764398,1.000000000,1.000000000,0.994974874
66869,99999,STRONG CITY,KS,0.005235602,0.000000000,0.000000000,0.005025126
66870,99999,VIRGIL,KS,1.000000000,1.000000000,1.000000000,1.000000000
66871,45820,WAVERLY,KS,0.022288262,0.000000000,0.000000000,0.021897810
66871,99999,WAVERLY,KS,0.977711738,1.000000000,1.000000000,0.978102190
66872,31740,WHITE CITY,KS,0.017964072,0.000000000,0.000000000,0.017716535
66872,99999,WHITE CITY,KS,0.982035928,1.000000000,1.000000000,0.982283465
66873,99999,WILSEY,KS,1.000000000,1.000000000,1.000000000,1.000000000
66901,41460,CONCORDIA,KS,0.000000000,0.002358491,0.000000000,0.000264620
66901,99999,CONCORDIA,KS,1.000000000,0.997641509,1.000000000,0.999735380
66930,99999,AGENDA,KS,1.000000000,1.000000000,1.000000000,1.000000000
